Assemblage,Deptford-Related Check Stamped,Fabric Impressed,Simple Stamped,Cord Marked,Santa Rosa Punctated,Curvilinear Complicated Stamped,Rectilinear Complicated Stamped,Santa-Rosa Related Stamped,Crystal River Negative Painted,Curvilinear Check Stamped,Ruskin Dentate,Red Filmed,Incised,Weeden Island-Related Punctated,Tucker Ridge Pinched,Net Marked,Cob Marked,Wakulla Check Stamped,Total
8FR2-PIII-5,3,0,0,0,0,158,3,0,0,0,0,0,4,1,0,0,0,0,169
8BY74,0,0,0,0,0,101,3,2,0,1,0,1,0,0,0,0,0,0,108
8FR2-PIII-6,3,0,0,0,0,94,2,0,0,0,0,1,0,0,0,0,0,0,100
9BI3-4,3,1,5,1,0,165,7,0,0,0,0,0,0,0,0,0,0,0,182
8FR2-II-1,12,0,0,1,0,208,12,0,0,2,0,0,1,2,0,0,0,0,238
8FR2-I-1,4,0,1,2,0,116,7,0,0,0,0,0,0,0,0,0,0,0,130
8FR2-II-2,9,0,0,0,0,118,9,0,0,0,0,0,1,0,0,0,0,0,137
9BI3-3,10,0,7,0,0,215,21,0,0,0,0,0,0,0,0,0,0,0,253
9CE16,7,0,3,6,0,74,3,0,0,0,0,0,3,0,0,0,0,0,96
9BI3-2,16,0,3,2,0,135,16,0,0,0,0,0,0,0,0,0,0,0,172
9BI3-1,11,1,4,1,0,210,55,0,0,0,0,0,0,0,0,0,0,0,282
9BI3-Pre Md,20,0,1,0,0,188,40,0,0,0,0,0,0,0,0,0,0,0,249
8LE148 WB.Str 2 Pits,5,0,19,1,0,175,6,0,19,0,0,7,2,0,0,0,0,1,235
9CY1-IV-0-6,53,0,49,18,0,383,100,5,3,0,0,3,0,0,0,0,0,0,614
9CY1-IV-6-24,43,0,55,18,1,437,116,1,2,0,0,2,0,0,0,0,0,0,675
9CY1-III-0-12,33,0,21,10,0,138,47,1,0,0,0,0,0,0,0,0,0,0,250
9SW71,51,2,50,0,2,148,17,0,0,0,0,4,3,0,0,1,0,0,278
9CY1-III-12-27,28,0,16,7,0,52,15,0,0,0,0,0,0,0,0,0,0,0,118
9CE4-0-6,13,1,80,18,0,100,2,0,0,0,0,0,0,0,0,0,0,0,214
9CE4-6-12,31,8,119,15,0,122,6,0,0,0,0,0,0,0,0,0,0,0,301
9CY1-II,29,0,41,11,3,46,0,0,0,0,0,1,1,0,0,0,0,0,132
9CE4-12-18,20,3,53,7,0,30,2,0,0,0,0,0,0,0,0,0,0,0,115
9QU58,72,0,112,11,6,67,4,0,0,0,0,0,0,0,0,0,0,0,272
9CY1-I-0-6,54,0,39,22,2,28,1,0,0,0,0,0,0,0,0,0,0,0,146
9CY1-I-6-12,36,0,34,4,0,19,3,0,0,0,0,0,0,0,0,0,0,0,96
9CY1-I-12-,68,0,20,8,2,15,2,0,0,0,0,0,0,0,0,0,0,0,115
8FR4-9-3,67,0,7,12,0,6,1,0,0,0,0,1,0,4,0,0,0,0,98
8GU56-TUA/B,272,0,58,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,351
8GU56-TUC/D,56,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74
1BR15-X1-Tertiary,373,8,46,5,0,33,1,0,0,0,0,0,0,0,0,0,0,0,466
8GU60-TUBL1-3,394,0,0,0,2,9,0,2,0,0,0,0,1,0,0,0,0,0,408
8GU60-TUBL4-8,235,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
1BR15-X1-Primary,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1BR15-X1-Pre Md,551,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580
,,,,,,,,,,,,,,,,,,,23243
