Assemblages,Weeden Island Plain,Deptford Plain,Swift Creek Plain,Fairchild's Plain,Cummings Plain,Sand-tempered Plain,Limestone Tempered Plain,Grit Tempered Plain,Smooth Plain,Plain or Residual Plain,Rough Plain,Roughened/Brushed,Franklin Plain,Micaceous Plainware,Unid Plain,Polished-Burnished,Pasco Plain,Papys Bayou Plain,Grog-tempered Plain,Fort Walton Plain,Shell Tempered Plain,Lamar Plain,Lake Jackson Plain,Fiber Tempered Plain,Norword Plain,St. Simons Plain,Stallings Plain,Check Stamped,Catersville Check Stamped,Deptford Bold Check Stamped,Deptford Linear Check Stamped,Gulf Check Stamped,Linear Check Stamped,McLeod Linear Check Stamped,St. Johns Check Stamped,Wakulla Check Stamped,Rectilinear Stamped,Crooked River Complicated Stamped,St. Andrews Complicated Stamped,Swift Creek Nested Diamond Stamped,Complicated Stamped,Curvilinear Complicated Stamped,Blakely Complicated Stamped,Brewton Hill Complicated Stamped,Fairchilds Complicated Stamped,Hare's Landing Complicated Stamped,Kolomoki Complicated Stamped,Little Kolomoki Complicated Stamped,Mulberry Creek Complicated Stamped,Napier Complicated Stamped,Pasco Complicated Stamped,Swift Creek Complicated Stamped,Lamar Complicated Stamped,Curvalinear Check Stamped,New River Complicated Stamped,Old Bay Complicated Stamped,Red Filmed,Dunn's Creek Red,Plain Red,Weeden Island Red,Weeden Island Zoned Red,Weeden Island Red/Zoned Red,Black Filmed,White Filmed,Simple Stamped,Catersville Simple Stamped,Deptford Simple Stamped,Mossy Oak Simple Stamped,Swift Creek Simple Stamped,Thomas Simple Stamped,Thomasville Simple Stamped,Fiber Tempered Simple Stamped,Cord Marked,Dunlap Corded,Fairchild's Cordmakred,West Florida Cord Marked,Alachua Cobmarked,Northwest Florida Cob Marked,Punctated,Carrabelle Punctated,Linear Punctated,Santa Rosa Punctated,Weeden Island Punctated,Zone Punctated,Fiber Temper Punctate,Stallings Punctate,Santa Rosa Stamped,Rocker Stamped,Alligator Bayou Stamped,Fiber Tempered Punctate-Incised,Net Marked,Mound Field Net Marked,Fabric Impressed,Dunlap Fabric Marked,Kellog Fabric Impressed,Incised,Punctate and Incised,Basin Bayou Incised,Carrabelle Incised,Cyrstal River Incised,Englewood Incised,Indian Pass Incised,Keith Incised,Lemon Bay Incised,St Petersburg Incised,Swift Creek Arc Incised,Weeden Island Incised,Weeden Island Incised-Punctated,Yokene Incised,Alexander Incised,Fiber Temper Incised,Pinellas Incised,Lamar Bold Incised,Fort Walton Incised,Tucker Ridge Pinched,Crystal River Negative Painted,Ruskin Dentate,Shell Stamped,Hillsborough Series,"Impressed, Other",Dentate & Simple Stamped,Punctate & Check Stamped,Indeterminate Stamped,Fort Walton Roughened,Unclassified,Total
8FR2-PIII-2,33,0,0,0,0,0,0,0,45,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444
8FR2-PIII-3,32,0,0,0,0,0,0,0,18,348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,2,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,529
8BY73-0-20 cm,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,830
9ER1-TU9,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,84,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,885
9ER1-TU18,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,154,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1219,2226
9SE33-Mid J,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,243
8BY73-20-40 cm,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,893
9ER1-TU7,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,295,626
9ER1-Md. A,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,440
9ER1-TU14,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,553,985
